"Part";"Value";"Device";"Package";"Description";"";
"ANT";"ANTENNA_2450AT43A100";"ANTENNA_2450AT43A100";"ANTENNA-SMD-7MM";"";"";
"BATT";"CR2032_HOLDER_SMD";"CR2032_HOLDER_SMD";"CR2032_HOLDER_SMD";"";"";
"C1";"6.8pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C2";"6.8pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C3";"0.8pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C4";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C5";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C7";"100pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C8";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C9";"4.7uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C10";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C11";"16pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C12";"16pF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C13";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C14";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C15";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"C16";"1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";
"C17";"100nF";"CAP0402-CAP";"0402-CAP";"Capacitor";"";
"CONN1";"MOLEX_8734006XX";"MOLEX_8734006XX";"MOLEX_8734006XX";"";"";
"GND";"SINGLE_CONN";"SINGLE_CONN";"SINGLE-CONN";"";"";
"GND_1";"SINGLE_CONN";"SINGLE_CONN";"SINGLE-CONN";"";"";
"L1";"3.9nH";"INDUCTOR0402";"C0402";"Inductors";"";
"L2";"10uH";"INDUCTOR0603";"0603";"Inductors";"";
"L3";"15nH";"INDUCTOR0402";"C0402";"Inductors";"";
"LEDS";"LED-R-G";"LED-R-G";"LED-RG-SMD-3X2.5MM";"";"";
"NRF52832";"NRF52832_QFN";"NRF52832_QFN";"QFN48";"";"";
"R1";"100";"RESISTOR0402";"0402-RES";"Resistor";"";
"R2";"100";"RESISTOR0402";"0402-RES";"Resistor";"";
"R4";"1M";"RESISTOR0402";"0402-RES";"Resistor";"";
"R5";"1K";"RESISTOR0402";"0402-RES";"Resistor";"";
"R6";"4.7k";"RESISTOR0402";"0402-RES";"Resistor";"";
"R7";"4.7k";"RESISTOR0402";"0402-RES";"Resistor";"";
"RX";"SINGLE_CONN";"SINGLE_CONN";"SINGLE-CONN";"";"";
"SW";"SWITCH-PANASONIC";"SWITCH-PANASONIC";"SWITCH-PANASONIC";"";"";
"TX";"SINGLE_CONN";"SINGLE_CONN";"SINGLE-CONN";"";"";
"U1";"MAG3110";"MAG3110";"DFN-10";"3-axis digital (I2C) magnetometer";"";
"X1";"CRYSTAL'2016'_32MHZ_6pF";"CRYSTAL'2016'_32MHZ";"X4-SMD-2.0X1.6MM";"";"";
"X2";"32.768KHz_12.5pF";"CRYSTAL'3215'";"X2-SMD-3.2X1.5MM";"";"";
